Category,,Imp,Imp,Imp,Imp,Imp,Imp,Imp,,Dom,Dom,Dom,Dom,Dom,Dom,Dom,,,Imp,Dom,,Imp,Dom,,Imp,Dom,,,,,,
Subcategory,,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,AGRICULTURE,MANUFACTURE,SERVICES,STEEL,CHEMICAL,ENERGY,TRANSPORTATION,∑,∑∑,C_HSLD,C_HSLD,∑,C_Ap,C_Ap,∑,FBCF,FBCF,∑,EXP,EXP_TRANSP,∑,,∑∑∑
Tax_imp,SERVICES,178.43010353956038,1744.5208260795546,5773.5985288546635,6.4089111758969635,1147.6733081347136,254.14968636907435,2623.7943918103365,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,STEEL,0.5374100941476544,69.52492106229244,32.703295841888476,12.572932780430436,33.27588981932931,20.701262877189695,95.74795402497533,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,CHEMICAL,45.840099097707366,141.56972702030353,246.156993016878,0.6206626530796645,1089.4950069532526,307.2250006287819,165.63966679320603,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,ENERGY,21.677900794092153,252.96870439306045,417.32712962132314,1.4010474535036683,430.34164131081195,1816.4113231685667,432.915374086549,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,TRANSPORTATION,17.57994888515153,211.15922633963558,418.77897511216287,0.9820946931654486,30.389313805412744,104.17512826339872,3556.248135385611,,,,,,,,,,,,,,,,,,,,,,,,
Tax_imp,∑,1510.1208230921268,7701.403934478711,9318.800675269964,71.0578362566325,5347.357262774524,2827.294132413368,8941.59495776163,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,AGRICULTURE,1496.1730238510036,1391.8327268344801,1631.8265308796153,0.671575536845373,480.2778592617284,297.4215792277395,670.9918031793319,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,MANUFACTURE,6914.9306190105135,42985.41738401521,33457.91385902294,279.151835333487,4570.209150868954,2132.5039165997764,15548.42579367704,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,SERVICES,1121.8290030201456,19151.770584100537,107692.00343341082,38.030388563765996,2441.129908152085,2468.5105982173854,27587.438692383832,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,STEEL,1.0807436288011107,550.5589326659955,672.3134054437041,73.03563442437505,63.54576849331922,127.3968191799068,807.1025801182772,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,CHEMICAL,216.41660598162798,964.931586521964,2454.373840430032,2.640478915618625,2602.191894423864,301.27088432301116,1376.3532220430943,,,,,,,,,,,,,,,,,,,,,,,,
Tax_dom,ENERGY,129.71597250610083,1607.999169010877,3687.120685126219,5.5680495784399175,655.1574009725459,3326.238590260743,3506.4083334878082,,,,,,,,,,,,,,,,,,,,,,,,
